area,sex,age_group,population
Central Subzone,total,10-14,30
City Hall,total,10-14,-
Clifford Pier,total,10-14,-
Marina Centre,total,10-14,-
Maxwell,total,10-14,-
Nicoll,total,10-14,10
Phillip,total,10-14,-
Raffles Place,total,10-14,-
Tanjong Pagar,total,10-14,10
Geylang - Total,total,10-14,4800
Aljunied,total,10-14,1730
Geylang East,total,10-14,1440
Kallang Way,total,10-14,-
Kampong Ubi,total,10-14,520
Macpherson,total,10-14,1110
Hougang - Total,total,10-14,10320
Defu Industrial Park,total,10-14,-
Hougang Central,total,10-14,210
Hougang East,total,10-14,1040
Hougang West,total,10-14,1730
Kangkar,total,10-14,1570
Kovan,total,10-14,1270
Lorong Ah Soo,total,10-14,1390
Lorong Halus,total,10-14,-
Tai Seng,total,10-14,690
Trafalgar,total,10-14,2420
Jurong East - Total,total,10-14,3530
International Business Park,total,10-14,-
Jurong Gateway,total,10-14,20
Jurong Port,total,10-14,-
Jurong River,total,10-14,-
Lakeside (Business),total,10-14,-
Lakeside (Leisure),total,10-14,20
Penjuru Crescent,total,10-14,-
Teban Gardens,total,10-14,890
Toh Guan,total,10-14,670
Yuhua East,total,10-14,1040
Yuhua West,total,10-14,900
Jurong West - Total,total,10-14,14990
Boon Lay Place,total,10-14,1600
Chin Bee,total,10-14,-
Hong Kah,total,10-14,2590
Jurong West Central,total,10-14,4190
Kian Teck,total,10-14,-
Safti,total,10-14,-
Taman Jurong,total,10-14,2260
Wenya,total,10-14,670
Yunnan,total,10-14,3680
Kallang - Total,total,10-14,4100
Bendemeer,total,10-14,1460
Boon Keng,total,10-14,410
Crawford,total,10-14,240
Geylang Bahru,total,10-14,440
Kallang Bahru,total,10-14,-
Kampong Bugis,total,10-14,20
Kampong Java,total,10-14,460
Lavender,total,10-14,430
Tanjong Rhu,total,10-14,630
Lim Chu Kang - Total,total,10-14,10
Lim Chu Kang,total,10-14,10
Mandai - Total,total,10-14,120
Mandai East,total,10-14,-
Mandai Estate,total,10-14,120
Mandai West,total,10-14,-
Marina East - Total,total,10-14,-
Marina East,total,10-14,-
Marina South - Total,total,10-14,-
Marina South,total,10-14,-
Marine Parade - Total,total,10-14,2420
East Coast,total,10-14,-
Katong,total,10-14,490
Marina East (Mp),total,10-14,-
Marine Parade,total,10-14,1390
Mountbatten,total,10-14,540
Museum - Total,total,10-14,10
Bras Basah,total,10-14,-
Dhoby Ghaut,total,10-14,-
Fort Canning,total,10-14,10
Newton - Total,total,10-14,520
Cairnhill,total,10-14,240
Goodwood Park,total,10-14,90
Istana Negara,total,10-14,-
Monk's Hill,total,10-14,60
Newton Circus,total,10-14,20
Orange Grove,total,10-14,110
North-Eastern Islands - Total,total,10-14,-
North-Eastern Islands,total,10-14,-
Novena - Total,total,10-14,2620
Balestier,total,10-14,1460
Dunearn,total,10-14,280
Malcolm,total,10-14,210
Moulmein,total,10-14,630
Mount Pleasant,total,10-14,40
Orchard - Total,total,10-14,60
Boulevard,total,10-14,20
Somerset,total,10-14,-
Tanglin,total,10-14,30
Outram - Total,total,10-14,750
China Square,total,10-14,30
Chinatown,total,10-14,520
Pearl's Hill,total,10-14,190
People's Park,total,10-14,-
Pasir Ris - Total,total,10-14,7700
Flora Drive,total,10-14,850
Loyang East,total,10-14,100
Loyang West,total,10-14,-
Pasir Ris Central,total,10-14,1670
Pasir Ris Drive,total,10-14,2570
Pasir Ris Park,total,10-14,540
Pasir Ris Wafer Fab Park,total,10-14,-
Pasir Ris West,total,10-14,1960
Paya Lebar - Total,total,10-14,-
Airport Road,total,10-14,-
Paya Lebar East,total,10-14,-
Paya Lebar North,total,10-14,-
Paya Lebar West,total,10-14,-
Plab,total,10-14,-
Pioneer - Total,total,10-14,-
Benoi Sector,total,10-14,-
Gul Basin,total,10-14,-
Gul Circle,total,10-14,-
Joo Koon,total,10-14,-
Pioneer Sector,total,10-14,-
Punggol - Total,total,10-14,11410
Coney Island,total,10-14,-
Matilda,total,10-14,3150
Northshore,total,10-14,20
Punggol Canal,total,10-14,-
Punggol Field,total,10-14,3940
Punggol Town Centre,total,10-14,1140
Waterway East,total,10-14,3160
Queenstown - Total,total,10-14,4190
Commonwealth,total,10-14,260
Dover,total,10-14,650
Ghim Moh,total,10-14,560
Holland Drive,total,10-14,360
Kent Ridge,total,10-14,-
Margaret Drive,total,10-14,800
Mei Chin,total,10-14,700
National University Of S'pore,total,10-14,10
One North,total,10-14,50
Pasir Panjang 1,total,10-14,240
Pasir Panjang 2,total,10-14,140
Port,total,10-14,10
Queensway,total,10-14,10
Singapore Polytechnic,total,10-14,-
Tanglin Halt,total,10-14,400
River Valley - Total,total,10-14,560
Institution Hill,total,10-14,190
Leonie Hill,total,10-14,180
One Tree Hill,total,10-14,110
Oxley,total,10-14,70
Paterson,total,10-14,10
Rochor - Total,total,10-14,480
Bencoolen,total,10-14,40
Farrer Park,total,10-14,120
Kampong Glam,total,10-14,-
Little India,total,10-14,120
Mackenzie,total,10-14,-
Mount Emily,total,10-14,70
Rochor Canal,total,10-14,-
Selegie,total,10-14,10
Sungei Road,total,10-14,70
Victoria,total,10-14,40
Seletar - Total,total,10-14,20
Pulau Punggol Barat,total,10-14,-
Pulau Punggol Timor,total,10-14,-
Seletar,total,10-14,20
Seletar Aerospace Park,total,10-14,-
Sembawang - Total,total,10-14,6400
Admiralty,total,10-14,960
Sembawang Central,total,10-14,2120
Sembawang East,total,10-14,800
Sembawang North,total,10-14,1770
Sembawang Springs,total,10-14,640
Sembawang Straits,total,10-14,120
Senoko North,total,10-14,-
Senoko South,total,10-14,-
The Wharves,total,10-14,-
Sengkang - Total,total,10-14,15930
Anchorvale,total,10-14,3290
Compassvale,total,10-14,1450
Fernvale,total,10-14,3970
Lorong Halus North,total,10-14,-
Rivervale,total,10-14,3670
Sengkang Town Centre,total,10-14,3550
Sengkang West,total,10-14,-
Serangoon - Total,total,10-14,5190
Lorong Chuan,total,10-14,480
Seletar Hills,total,10-14,760
Serangoon Central,total,10-14,880
Serangoon Garden,total,10-14,1530
Serangoon North,total,10-14,800
Serangoon North Ind Estate,total,10-14,-
Upper Paya Lebar,total,10-14,740
Simpang - Total,total,10-14,-
Pulau Seletar,total,10-14,-
Simpang North,total,10-14,-
Simpang South,total,10-14,-
Tanjong Irau,total,10-14,-
Singapore River - Total,total,10-14,190
Boat Quay,total,10-14,-
Clarke Quay,total,10-14,10
Robertson Quay,total,10-14,180
Southern Islands - Total,total,10-14,110
Sentosa,total,10-14,110
Southern Group,total,10-14,-
Straits View - Total,total,10-14,-
Straits View,total,10-14,-
Sungei Kadut - Total,total,10-14,40
Gali Batu,total,10-14,-
Kranji,total,10-14,-
Pang Sua,total,10-14,-
Reservoir View,total,10-14,-
Turf Club,total,10-14,30
Tampines - Total,total,10-14,11990
Simei,total,10-14,1960
Tampines East,total,10-14,5910
Tampines North,total,10-14,260
Tampines West,total,10-14,3800
Xilin,total,10-14,70
Tanglin - Total,total,10-14,1370
Chatsworth,total,10-14,410
Nassim,total,10-14,630
Ridout,total,10-14,80
Tyersall,total,10-14,250
Tengah - Total,total,10-14,-
Brickland,total,10-14,-
Forest Hill,total,10-14,-
Garden,total,10-14,-
Park,total,10-14,-
Plantation,total,10-14,-
Tengah Industrial Estate,total,10-14,-
Toa Payoh - Total,total,10-14,5300
Bidadari,total,10-14,-
Boon Teck,total,10-14,570
Braddell,total,10-14,470
Joo Seng,total,10-14,410
Kim Keat,total,10-14,300
Lorong 8 Toa Payoh,total,10-14,240
Pei Chun,total,10-14,450
Potong Pasir,total,10-14,460
Sennett,total,10-14,350
Toa Payoh Central,total,10-14,1390
Toa Payoh West,total,10-14,510
Woodleigh,total,10-14,160
Tuas - Total,total,10-14,-
Tengeh,total,10-14,-
Tuas Bay,total,10-14,-
Tuas North,total,10-14,-
Tuas Promenade,total,10-14,-
Tuas View,total,10-14,-
Tuas View Extension,total,10-14,-
Western Islands - Total,total,10-14,-
Jurong Island And Bukom,total,10-14,-
Semakau,total,10-14,-
Sudong,total,10-14,-
Western Water Catchment - Total,total,10-14,20
Bahar,total,10-14,-
Cleantech,total,10-14,-
Murai,total,10-14,20
Woodlands - Total,total,10-14,14460
Greenwood Park,total,10-14,-
Midview,total,10-14,1870
North Coast,total,10-14,470
Senoko West,total,10-14,-
Woodgrove,total,10-14,1740
Woodlands East,total,10-14,6010
Woodlands Regional Centre,total,10-14,-
Woodlands South,total,10-14,2850
Woodlands West,total,10-14,1510
Yishun - Total,total,10-14,10950
Khatib,total,10-14,380
Lower Seletar,total,10-14,1160
Nee Soon,total,10-14,50
Northland,total,10-14,1350
Springleaf,total,10-14,250
Yishun Central,total,10-14,150
Yishun East,total,10-14,3270
Yishun South,total,10-14,1920
Yishun West,total,10-14,2440
Total,total,15-19,215230
Ang Mo Kio - Total,total,15-19,7600
Ang Mo Kio Town Centre,total,15-19,320
Cheng San,total,15-19,1160
Chong Boon,total,15-19,1060
Kebun Bahru,total,15-19,1010
Sembawang Hills,total,15-19,460
Shangri-La,total,15-19,710
Tagore,total,15-19,450
Townsville,total,15-19,820
Yio Chu Kang,total,15-19,-
Yio Chu Kang East,total,15-19,260
Yio Chu Kang North,total,15-19,-
Yio Chu Kang West,total,15-19,1350
Bedok - Total,total,15-19,14080
Bayshore,total,15-19,450
Bedok North,total,15-19,4000
Bedok Reservoir,total,15-19,1510
Bedok South,total,15-19,2300
Frankel,total,15-19,1810
Kaki Bukit,total,15-19,1930
Kembangan,total,15-19,1780
Siglap,total,15-19,310
Bishan - Total,total,15-19,4630
Bishan East,total,15-19,1380
Marymount,total,15-19,1680
Upper Thomson,total,15-19,1560
Boon Lay - Total,total,15-19,-
Liu Fang,total,15-19,-
Samulun,total,15-19,-
Shipyard,total,15-19,-
Tukang,total,15-19,-
Bukit Batok - Total,total,15-19,8570
Brickworks,total,15-19,730
Bukit Batok Central,total,15-19,1490
Bukit Batok East,total,15-19,600
Bukit Batok South,total,15-19,840
Bukit Batok West,total,15-19,790
Gombak,total,15-19,590
Guilin,total,15-19,750
Hillview,total,15-19,1350
Hong Kah North,total,15-19,1440
Bukit Merah - Total,total,15-19,6130
Alexandra Hill,total,15-19,630
Alexandra North,total,15-19,110
Bukit Ho Swee,total,15-19,500
Bukit Merah,total,15-19,60
City Terminals,total,15-19,-
Depot Road,total,15-19,280
Everton Park,total,15-19,310
Henderson Hill,total,15-19,530
Kampong Tiong Bahru,total,15-19,350
Maritime Square,total,15-19,170
Redhill,total,15-19,500
Singapore General Hospital,total,15-19,-
Telok Blangah Drive,total,15-19,710
Telok Blangah Rise,total,15-19,510
Telok Blangah Way,total,15-19,350
Tiong Bahru,total,15-19,430
Tiong Bahru Station,total,15-19,700
Bukit Panjang - Total,total,15-19,8150
Bangkit,total,15-19,1190
Dairy Farm,total,15-19,510
Fajar,total,15-19,1590
Jelebu,total,15-19,1840
Nature Reserve,total,15-19,250
Saujana,total,15-19,1510
Senja,total,15-19,1260
Bukit Timah - Total,total,15-19,4850
Anak Bukit,total,15-19,1310
Coronation Road,total,15-19,440
Farrer Court,total,15-19,370
Hillcrest,total,15-19,600
Holland Road,total,15-19,770
Leedon Park,total,15-19,370
Swiss Club,total,15-19,330
Ulu Pandan,total,15-19,650
Central Water Catchment - Total,total,15-19,-
Central Water Catchment,total,15-19,-
Changi- Total,total,15-19,110
Changi Airport,total,15-19,-
Changi Point,total,15-19,20
Changi West,total,15-19,80
Changi Bay - Total,total,15-19,-
Changi Bay,total,15-19,-
Choa Chu Kang - Total,total,15-19,12090
Choa Chu Kang Central,total,15-19,1430
Choa Chu Kang North,total,15-19,2400
Keat Hong,total,15-19,2060
Peng Siang,total,15-19,2040
Teck Whye,total,15-19,1350
Yew Tee,total,15-19,2810
Clementi - Total,total,15-19,4470
Clementi Central,total,15-19,660
Clementi North,total,15-19,1130
Clementi West,total,15-19,760
Clementi Woods,total,15-19,810
Faber,total,15-19,320
Pandan,total,15-19,-
Sunset Way,total,15-19,310
Toh Tuck,total,15-19,-
West Coast,total,15-19,470
Downtown Core - Total,total,15-19,100
Anson,total,15-19,-
Bayfront Subzone,total,15-19,-
Bugis,total,15-19,30
Cecil,total,15-19,-
Central Subzone,total,15-19,40
City Hall,total,15-19,-
Clifford Pier,total,15-19,-
Marina Centre,total,15-19,-
Maxwell,total,15-19,-
Nicoll,total,15-19,10
Phillip,total,15-19,-
Raffles Place,total,15-19,-
Tanjong Pagar,total,15-19,10
Geylang - Total,total,15-19,4840
Aljunied,total,15-19,1670
Geylang East,total,15-19,1340
Kallang Way,total,15-19,-
Kampong Ubi,total,15-19,560
Macpherson,total,15-19,1270
Hougang - Total,total,15-19,11520
Defu Industrial Park,total,15-19,-
Hougang Central,total,15-19,280
Hougang East,total,15-19,1090
Hougang West,total,15-19,2000
Kangkar,total,15-19,1600
Kovan,total,15-19,1420
Lorong Ah Soo,total,15-19,1690
Lorong Halus,total,15-19,-
Tai Seng,total,15-19,750
Trafalgar,total,15-19,2700
Jurong East - Total,total,15-19,4160
International Business Park,total,15-19,-
Jurong Gateway,total,15-19,30
Jurong Port,total,15-19,-
Jurong River,total,15-19,-
Lakeside (Business),total,15-19,-
Lakeside (Leisure),total,15-19,30
Penjuru Crescent,total,15-19,-
Teban Gardens,total,15-19,930
Toh Guan,total,15-19,860
Yuhua East,total,15-19,1240
Yuhua West,total,15-19,1070
Jurong West - Total,total,15-19,16110
Boon Lay Place,total,15-19,1670
Chin Bee,total,15-19,-
Hong Kah,total,15-19,3060
Jurong West Central,total,15-19,4040
Kian Teck,total,15-19,-
Safti,total,15-19,-
Taman Jurong,total,15-19,2430
Wenya,total,15-19,540
Yunnan,total,15-19,4370
Kallang - Total,total,15-19,4280
Bendemeer,total,15-19,1370
Boon Keng,total,15-19,500
Crawford,total,15-19,260
Geylang Bahru,total,15-19,530
Kallang Bahru,total,15-19,-
Kampong Bugis,total,15-19,40
Kampong Java,total,15-19,450
Lavender,total,15-19,430
Tanjong Rhu,total,15-19,700
Lim Chu Kang - Total,total,15-19,10
Lim Chu Kang,total,15-19,10
Mandai - Total,total,15-19,130
Mandai East,total,15-19,-
Mandai Estate,total,15-19,130
Mandai West,total,15-19,-
Marina East - Total,total,15-19,-
Marina East,total,15-19,-
Marina South - Total,total,15-19,-
Marina South,total,15-19,-
Marine Parade - Total,total,15-19,2360
East Coast,total,15-19,-
Katong,total,15-19,500
Marina East (Mp),total,15-19,-
Marine Parade,total,15-19,1300
Mountbatten,total,15-19,560
Museum - Total,total,15-19,20
Bras Basah,total,15-19,-
Dhoby Ghaut,total,15-19,10
Fort Canning,total,15-19,10
Newton - Total,total,15-19,380
Cairnhill,total,15-19,170
Goodwood Park,total,15-19,60
Istana Negara,total,15-19,-
Monk's Hill,total,15-19,50
Newton Circus,total,15-19,10
Orange Grove,total,15-19,80
North-Eastern Islands - Total,total,15-19,-
North-Eastern Islands,total,15-19,-
Novena - Total,total,15-19,2270
Balestier,total,15-19,1390
Dunearn,total,15-19,260
Malcolm,total,15-19,180
Moulmein,total,15-19,400
Mount Pleasant,total,15-19,40
Orchard - Total,total,15-19,40
Boulevard,total,15-19,10
Somerset,total,15-19,-
Tanglin,total,15-19,20
Outram - Total,total,15-19,530
China Square,total,15-19,30
Chinatown,total,15-19,310
Pearl's Hill,total,15-19,180
People's Park,total,15-19,10
Pasir Ris - Total,total,15-19,9360
Flora Drive,total,15-19,940
Loyang East,total,15-19,150
Loyang West,total,15-19,-
Pasir Ris Central,total,15-19,1860
Pasir Ris Drive,total,15-19,3380
Pasir Ris Park,total,15-19,500
Pasir Ris Wafer Fab Park,total,15-19,-
Pasir Ris West,total,15-19,2530
Paya Lebar - Total,total,15-19,-
Airport Road,total,15-19,-
Paya Lebar East,total,15-19,-
Paya Lebar North,total,15-19,-
Paya Lebar West,total,15-19,-
Plab,total,15-19,-
Pioneer - Total,total,15-19,-
Benoi Sector,total,15-19,-
Gul Basin,total,15-19,-
Gul Circle,total,15-19,-
Joo Koon,total,15-19,-
Pioneer Sector,total,15-19,-
Punggol - Total,total,15-19,8570
Coney Island,total,15-19,-
Matilda,total,15-19,2210
Northshore,total,15-19,30
Punggol Canal,total,15-19,-
Punggol Field,total,15-19,3390
Punggol Town Centre,total,15-19,810
Waterway East,total,15-19,2140
Queenstown - Total,total,15-19,4120
Commonwealth,total,15-19,280
Dover,total,15-19,630
Ghim Moh,total,15-19,500
Holland Drive,total,15-19,470
Kent Ridge,total,15-19,-
Margaret Drive,total,15-19,570
Mei Chin,total,15-19,800
National University Of S'pore,total,15-19,10
One North,total,15-19,30
Pasir Panjang 1,total,15-19,260
Pasir Panjang 2,total,15-19,160
Port,total,15-19,-
Queensway,total,15-19,10
Singapore Polytechnic,total,15-19,-
Tanglin Halt,total,15-19,400
River Valley - Total,total,15-19,530
Institution Hill,total,15-19,140
Leonie Hill,total,15-19,180
One Tree Hill,total,15-19,120
Oxley,total,15-19,70
Paterson,total,15-19,10
Rochor - Total,total,15-19,520
Bencoolen,total,15-19,40
Farrer Park,total,15-19,120
Kampong Glam,total,15-19,-
Little India,total,15-19,140
Mackenzie,total,15-19,10
Mount Emily,total,15-19,60
Rochor Canal,total,15-19,-
Selegie,total,15-19,10
Sungei Road,total,15-19,100
Victoria,total,15-19,40
Seletar - Total,total,15-19,20
Pulau Punggol Barat,total,15-19,-
Pulau Punggol Timor,total,15-19,-
Seletar,total,15-19,20
Seletar Aerospace Park,total,15-19,-
Sembawang - Total,total,15-19,6400
Admiralty,total,15-19,880
Sembawang Central,total,15-19,2210
Sembawang East,total,15-19,780
Sembawang North,total,15-19,1810
Sembawang Springs,total,15-19,580
Sembawang Straits,total,15-19,140
Senoko North,total,15-19,-
Senoko South,total,15-19,-
The Wharves,total,15-19,-
Sengkang - Total,total,15-19,13630
Anchorvale,total,15-19,2620
Compassvale,total,15-19,900
Fernvale,total,15-19,2780
Lorong Halus North,total,15-19,-
Rivervale,total,15-19,3840
Sengkang Town Centre,total,15-19,3490
Sengkang West,total,15-19,-
Serangoon - Total,total,15-19,6160
Lorong Chuan,total,15-19,570
Seletar Hills,total,15-19,880
Serangoon Central,total,15-19,1190
Serangoon Garden,total,15-19,1800
Serangoon North,total,15-19,950
Serangoon North Ind Estate,total,15-19,-
Upper Paya Lebar,total,15-19,780
Simpang - Total,total,15-19,-
Pulau Seletar,total,15-19,-
Simpang North,total,15-19,-
Simpang South,total,15-19,-
Tanjong Irau,total,15-19,-
Singapore River - Total,total,15-19,120
Boat Quay,total,15-19,-
Clarke Quay,total,15-19,-
Robertson Quay,total,15-19,120
Southern Islands - Total,total,15-19,100
Sentosa,total,15-19,100
Southern Group,total,15-19,-
Straits View - Total,total,15-19,-
Straits View,total,15-19,-
Sungei Kadut - Total,total,15-19,30
Gali Batu,total,15-19,-
Kranji,total,15-19,-
Pang Sua,total,15-19,-
Reservoir View,total,15-19,-
Turf Club,total,15-19,30
Tampines - Total,total,15-19,13290
Simei,total,15-19,2120
Tampines East,total,15-19,6680
Tampines North,total,15-19,240
Tampines West,total,15-19,4150
Xilin,total,15-19,100
Tanglin - Total,total,15-19,1100
Chatsworth,total,15-19,310
Nassim,total,15-19,540
Ridout,total,15-19,70
Tyersall,total,15-19,190
Tengah - Total,total,15-19,-
Brickland,total,15-19,-
Forest Hill,total,15-19,-
Garden,total,15-19,-
Park,total,15-19,-
Plantation,total,15-19,-
Tengah Industrial Estate,total,15-19,-
Toa Payoh - Total,total,15-19,5480
Bidadari,total,15-19,-
Boon Teck,total,15-19,660
Braddell,total,15-19,460
Joo Seng,total,15-19,340
Kim Keat,total,15-19,310
Lorong 8 Toa Payoh,total,15-19,310
Pei Chun,total,15-19,530
Potong Pasir,total,15-19,520
Sennett,total,15-19,350
Toa Payoh Central,total,15-19,1300
Toa Payoh West,total,15-19,530
Woodleigh,total,15-19,160
Tuas - Total,total,15-19,-
Tengeh,total,15-19,-
Tuas Bay,total,15-19,-
Tuas North,total,15-19,-
Tuas Promenade,total,15-19,-
Tuas View,total,15-19,-
Tuas View Extension,total,15-19,-
Western Islands - Total,total,15-19,-
Jurong Island And Bukom,total,15-19,-
Semakau,total,15-19,-
Sudong,total,15-19,-
Western Water Catchment - Total,total,15-19,20
Bahar,total,15-19,-
Cleantech,total,15-19,-
Murai,total,15-19,20
Woodlands - Total,total,15-19,17110
Greenwood Park,total,15-19,-
Midview,total,15-19,2480
North Coast,total,15-19,650
Senoko West,total,15-19,-
Woodgrove,total,15-19,2280
Woodlands East,total,15-19,6880
Woodlands Regional Centre,total,15-19,-
Woodlands South,total,15-19,2990
Woodlands West,total,15-19,1830
Yishun - Total,total,15-19,11250
Khatib,total,15-19,460
Lower Seletar,total,15-19,940
Nee Soon,total,15-19,60
Northland,total,15-19,1510
Springleaf,total,15-19,300
Yishun Central,total,15-19,130
Yishun East,total,15-19,2970
Yishun South,total,15-19,2090
Yishun West,total,15-19,2790
Total,total,20-24,244540
Ang Mo Kio - Total,total,20-24,8680
Ang Mo Kio Town Centre,total,20-24,270
Cheng San,total,20-24,1330
Chong Boon,total,20-24,1310
Kebun Bahru,total,20-24,1170
Sembawang Hills,total,20-24,500
Shangri-La,total,20-24,860
Tagore,total,20-24,580
Townsville,total,20-24,890
Yio Chu Kang,total,20-24,-
Yio Chu Kang East,total,20-24,310
Yio Chu Kang North,total,20-24,-
Yio Chu Kang West,total,20-24,1460
Bedok - Total,total,20-24,16050
Bayshore,total,20-24,360
Bedok North,total,20-24,4760
Bedok Reservoir,total,20-24,1490
Bedok South,total,20-24,2740
Frankel,total,20-24,1820
Kaki Bukit,total,20-24,2510
Kembangan,total,20-24,2020
Siglap,total,20-24,360
Bishan - Total,total,20-24,5240
Bishan East,total,20-24,1470
Marymount,total,20-24,2030
Upper Thomson,total,20-24,1740
Boon Lay - Total,total,20-24,-
Liu Fang,total,20-24,-
Samulun,total,20-24,-
Shipyard,total,20-24,-
Tukang,total,20-24,-
Bukit Batok - Total,total,20-24,9800
Brickworks,total,20-24,660
Bukit Batok Central,total,20-24,1560
Bukit Batok East,total,20-24,810
Bukit Batok South,total,20-24,1110
Bukit Batok West,total,20-24,950
Gombak,total,20-24,620
Guilin,total,20-24,830
Hillview,total,20-24,1600
Hong Kah North,total,20-24,1680
Bukit Merah - Total,total,20-24,6640
Alexandra Hill,total,20-24,790
Alexandra North,total,20-24,100
Bukit Ho Swee,total,20-24,620
Bukit Merah,total,20-24,70
City Terminals,total,20-24,-
Depot Road,total,20-24,280
Everton Park,total,20-24,330
